run	index name	bool fields count	document count	base	percentage of true	disk space	query type	thread count	min terms	max terms	duration	queries run	queries with results	total results lower bound	error count	queries per second	percentage of queries that had results	average results per query	average query duration	<1	<2	<5	<10	<20	<50	<100	<200	<500	<1,000	<2,000	<5,000	<10,000	<20,000	>=20,000
24	test01	20	10,000,000	2	9.25	433,555,039	NEGATE_ALL2	100	2	2	69,969	734	734	7,340,000	0	10	100.00	10,000.00	8,850										.95	1.50	3.95	89.92	3.68	
25	test01	20	10,000,000	2	9.25	433,555,039	ALL	100	3	3	60,074	393,999	128,986	127,717,600	0	6,559	32.74	324.16	15	.00	.00	.01	15.19	68.29	15.51	.71	.28	.01						
26	test01	20	10,000,000	2	9.25	433,555,039	SOME	100	3	3	61,114	6,061	6,061	57,368,856	0	99	100.00	9,465.25	998		.09	.02	.02	.36	.12	.03	.03	.54	52.85	46.39				
27	test01	20	10,000,000	2	9.25	433,555,039	NEGATE_ALL	100	3	3	64,147	1,544	1,544	15,440,000	0	24	100.00	10,000.00	4,022									.45	.84	1.55	97.15			
28	test01	20	10,000,000	2	9.25	433,555,039	NEGATE_ALL2	100	3	3	69,276	736	736	7,360,000	0	11	100.00	10,000.00	8,799										.95	1.22	4.35	89.54	3.94	
29	test01	20	10,000,000	2	9.25	433,555,039	ALL	100	4	4	60,064	663,611	64,597	21,985,645	0	11,048	9.73	33.13	9	.00	.00	.03	70.69	28.35	.75	.14	.04	.00						
30	test01	20	10,000,000	2	9.25	433,555,039	SOME	100	4	4	61,664	4,615	4,615	45,480,954	0	75	100.00	9,855.03	1,316			.35	.02	.04	.04	.07	.22	.63	2.64	96.34	.58			
31	test01	20	10,000,000	2	9.25	433,555,039	NEGATE_ALL	100	4	4	63,891	1,613	1,613	16,130,000	0	25	100.00	10,000.00	3,844									.50	.74	1.49	97.27			
32	test01	20	10,000,000	2	9.25	433,555,039	NEGATE_ALL2	100	4	4	68,992	746	746	7,460,000	0	11	100.00	10,000.00	8,641										1.07	1.07	4.16	92.36	1.34	
33	test01	20	10,000,000	2	9.25	433,555,039	ALL	100	6	6	60,009	752,143	1,469	12,487	0	12,534	.20	.02	8	.00	.00	.02	94.62	5.34	.02									
34	test01	20	10,000,000	2	9.25	433,555,039	SOME	100	6	6	62,288	3,180	3,180	31,758,451	0	51	100.00	9,986.93	1,918						.09	.06	.03	.47	.82	59.56	38.96			
35	test01	20	10,000,000	2	9.25	433,555,039	NEGATE_ALL	100	6	6	63,620	1,793	1,793	17,930,000	0	28	100.00	10,000.00	3,445								.53	.45	.84	1.62	97.10			
36	test01	20	10,000,000	2	9.25	433,555,039	NEGATE_ALL2	100	6	6	69,178	803	803	8,030,000	0	12	100.00	10,000.00	8,042										.87	1.62	4.36	93.15		
37	test01	20	10,000,000	2	9.25	433,555,039	ALL	100	10	10	60,011	550,592	0	0	0	9,175	.00	.00	11		.00	.02	4.82	95.12	.04									
38	test01	20	10,000,000	2	9.25	433,555,039	SOME	100	10	10	63,017	2,081	2,081	20,810,000	0	33	100.00	10,000.00	2,957								.05	.62	.67	1.49	97.16			
39	test01	20	10,000,000	2	9.25	433,555,039	NEGATE_ALL	100	10	10	62,916	2,170	2,170	21,700,000	0	34	100.00	10,000.00	2,834								.05	.46	.97	1.57	96.96			
40	test01	20	10,000,000	2	9.25	433,555,039	NEGATE_ALL2	100	10	10	67,420	848	848	8,480,000	0	13	100.00	10,000.00	7,514									.24	.71	1.18	4.72	93.16		
41	test01	20	10,000,000	2	9.25	433,555,039	ALL	100	15	15	60,015	420,342	0	0	0	7,004	.00	.00	14		.00	.01	.02	97.92	2.05									
42	test01	20	10,000,000	2	9.25	433,555,039	SOME	100	15	15	64,591	1,508	1,508	15,080,000	0	23	100.00	10,000.00	4,134									.53	.73	1.59	97.15			
43	test01	20	10,000,000	2	9.25	433,555,039	NEGATE_ALL	100	15	15	62,294	2,747	2,747	27,470,000	0	44	100.00	10,000.00	2,226								.15	.55	.87	1.49	96.94			
44	test01	20	10,000,000	2	9.25	433,555,039	NEGATE_ALL2	100	15	15	65,525	1,249	1,249	12,490,000	0	19	100.00	10,000.00	5,019									.48	.88	1.60	21.54	75.50		
45	test02	60	1,000,000	1.29	6.517	82,238,956	ALL	1	1	5	60,001	31,983	10,938	28,011,490	0	533	34.20	875.82	2	18.47	50.00	26.01	2.62	1.65	1.19	.06								
46	test02	60	1,000,000	1.29	6.517	82,238,956	SOME	1	1	5	60,010	8,683	8,683	61,170,449	0	145	100.00	7,044.85	7	8.22	34.08	20.81	11.86	13.27	11.72	.03								
47	test02	60	1,000,000	1.29	6.517	82,238,956	NEGATE_ALL	1	1	5	60,107	544	544	1,380,990	0	9	100.00	2,538.59	110							13.60	86.40							
48	test02	60	1,000,000	1.29	6.517	82,238,956	NEGATE_ALL2	1	1	5	60,051	783	783	1,921,239	0	13	100.00	2,453.69	77							89.53	5.49	4.98						
49	test02	60	1,000,000	1.29	6.517	82,238,956	ALL	10	1	5	60,010	648,848	222,311	580,517,397	0	10,812	34.26	894.69	1	48.89	42.73	4.97	1.78	1.28	.36									
50	test02	60	1,000,000	1.29	6.517	82,238,956	SOME	10	1	5	60,027	77,423	77,423	541,268,110	0	1,290	100.00	6,991.05	8	10.40	31.85	18.95	11.80	12.49	14.23	.27	.00							
51	test02	60	1,000,000	1.29	6.517	82,238,956	NEGATE_ALL	10	1	5	60,102	4,555	4,555	11,699,586	0	76	100.00	2,568.52	132							3.95	96.05							
52	test02	60	1,000,000	1.29	6.517	82,238,956	NEGATE_ALL2	10	1	5	60,126	6,454	6,454	16,225,148	0	107	100.00	2,513.97	93							81.79	13.20	5.00						
53	test02	60	1,000,000	1.29	6.517	82,238,956	ALL	20	1	5	60,019	697,967	238,705	618,656,973	0	11,629	34.20	886.37	2	2.69	65.75	27.38	2.29	1.40	.48									
54	test02	60	1,000,000	1.29	6.517	82,238,956	SOME	20	1	5	60,025	78,605	78,605	551,109,998	0	1,310	100.00	7,011.13	15	.00	.01	5.70	33.57	36.54	22.61	1.57								
55	test02	60	1,000,000	1.29	6.517	82,238,956	NEGATE_ALL	20	1	5	60,254	4,509	4,509	11,279,845	0	75	100.00	2,501.63	267							.02	.27	99.71						
